age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
19.0,1,2.5,2.8,0.5,1,86.47733894710481,15.017399918985753,0.0,1,,0,5.0,1.0,60.6
23.0,0,6.3,1.9,0.0,0,84.35709027246656,7.918677357832539,1.0,6,,2,,1.0,100.0
24.0,0,3.5,0.0,2.3,0,71.25204401270874,0.0,1.0,4,2.0,2,,1.0,64.4
22.0,0,4.1,2.4,,0,67.0081532848961,7.611032194924907,1.0,4,3.0,2,4.0,0.0,66.7
17.0,2,2.9,2.5,2.4,1,86.09894642943422,8.321337493930466,0.0,5,,2,9.0,0.0,65.2
18.0,0,2.7,2.1,1.9,0,61.43189384405052,4.776420917604162,2.0,4,1.0,0,4.0,0.0,64.5
23.0,1,4.9,,2.8,0,74.74682502539618,6.460812836050991,2.0,0,2.0,1,3.0,,77.0
23.0,0,3.8,1.9,3.6,0,73.02508885745011,6.407899471204173,1.0,6,3.0,2,1.0,0.0,77.8
18.0,1,3.8,2.5,1.8,0,59.45946305904521,15.159939324133784,0.0,5,1.0,1,7.0,0.0,76.8
17.0,1,2.3,2.0,,0,65.41023175212436,0.0,1.0,2,2.0,1,10.0,0.0,71.4
19.0,0,3.9,2.7,1.6,0,74.19874460128698,0.0,1.0,2,2.0,1,,0.0,77.8
24.0,1,3.5,2.9,0.7,0,63.85236628631458,18.98869738314488,0.0,3,1.0,2,2.0,0.0,62.9
17.0,1,2.6,1.8,3.0,0,83.53840209255056,9.42858202612703,1.0,3,2.0,2,4.0,,62.3
17.0,0,3.1,,0.4,0,52.98752976500445,8.63575092040033,0.0,4,2.0,2,4.0,1.0,59.6
17.0,0,3.4,4.0,0.7,1,87.12836516964575,8.352794941546518,0.0,1,3.0,2,1.0,0.0,62.0
20.0,0,4.8,1.9,1.1,0,80.05981999875608,5.575356609080869,1.0,1,2.0,2,,1.0,96.1
17.0,0,4.7,1.2,,0,67.61734575041969,7.641010394828488,1.0,2,3.0,2,2.0,0.0,83.1
20.0,1,3.8,,2.2,1,97.28368492212958,4.125223121367511,1.0,3,1.0,2,10.0,0.0,88.0
17.0,0,3.2,2.6,2.8,0,74.02027616920182,7.417068922923173,1.0,2,1.0,2,10.0,1.0,75.4
23.0,0,3.4,0.5,,0,57.829930237912734,7.844918951361126,1.0,4,2.0,2,3.0,0.0,78.0
22.0,0,1.3,2.2,,0,66.03663249436826,10.47333691773693,2.0,7,1.0,0,,0.0,53.4
17.0,1,3.0,3.2,1.6,0,63.82855009606189,15.742883881205502,1.0,3,2.0,1,0.0,1.0,58.4
22.0,0,4.2,0.3,0.1,0,79.09406637554109,0.0,0.0,2,1.0,0,8.0,1.0,100.0
17.0,0,2.8,2.0,4.1,1,76.76203840529476,2.7033121230920045,1.0,5,1.0,2,6.0,0.0,57.3
18.0,0,3.8,3.3,2.5,0,86.47470651942616,0.0,2.0,5,2.0,2,7.0,0.0,74.3
22.0,0,6.8,3.7,1.8,0,69.08903335827198,1.5334991016599302,0.0,6,3.0,1,4.0,0.0,100.0
24.0,1,1.1,3.6,2.5,0,76.14663367220557,11.374340363256582,2.0,3,1.0,2,10.0,1.0,54.6
21.0,1,1.9,1.2,0.9,0,72.22194639820337,8.252502527729511,1.0,3,2.0,2,6.0,1.0,56.9
17.0,1,2.5,1.7,4.1,0,77.79479463417306,0.6691636658870096,0.0,4,,1,7.0,0.0,65.0
21.0,0,2.1,3.5,0.9,0,94.4502002348567,17.027167026819424,1.0,6,1.0,2,6.0,0.0,63.4
21.0,1,0.7,3.2,0.3,1,56.341634663821786,15.879408331967964,1.0,1,1.0,2,,1.0,47.2
22.0,1,2.1,0.0,0.7,0,38.931007292395705,2.235072609665395,,1,2.0,1,6.0,,52.5
17.0,1,2.6,1.4,1.2,0,83.89660404253347,8.614167731894618,,4,2.0,1,7.0,0.0,80.3
23.0,2,4.7,4.9,2.7,0,75.0211763225989,23.234971521357725,0.0,5,2.0,1,2.0,,89.6
19.0,0,4.9,1.0,,0,88.65053109337968,0.0305240336652182,1.0,1,,1,10.0,,89.2
24.0,1,3.1,3.8,2.1,0,88.66173348171303,9.745685680228643,1.0,4,3.0,1,5.0,1.0,54.1
19.0,0,5.9,0.0,,1,85.27870504555756,10.857552845967852,0.0,2,1.0,2,7.0,0.0,100.0
17.0,0,3.4,1.5,1.0,0,70.32046739990832,9.765401819611284,2.0,4,2.0,0,8.0,,86.1
,0,2.6,2.0,2.4,0,81.7311142290606,24.0,1.0,0,2.0,2,4.0,,48.5
20.0,1,0.9,4.3,,0,81.49456008084334,11.12803877812012,2.0,6,1.0,1,5.0,,27.6
22.0,1,3.9,2.9,2.0,0,60.00266781276838,15.432246568327075,,3,3.0,2,,0.0,71.0
20.0,1,,2.1,,0,77.30550945064476,2.0601870101208783,1.0,7,1.0,1,0.0,1.0,60.3
20.0,1,4.9,0.3,2.7,1,68.41800339624555,1.1083735512937112,2.0,0,2.0,0,5.0,,82.1
18.0,1,3.3,4.1,,0,67.07646388519714,7.566818262948741,0.0,0,3.0,2,9.0,0.0,69.6
22.0,0,4.5,,,0,70.91647958577256,8.802967861480042,2.0,4,2.0,1,,1.0,66.1
24.0,0,5.1,1.5,3.2,0,77.61955732223163,15.311604202998623,0.0,6,1.0,0,9.0,1.0,89.3
21.0,1,4.3,,2.0,1,65.28878614971948,0.0,1.0,0,2.0,1,7.0,,72.6
24.0,1,2.3,1.1,1.8,1,67.20461727174045,18.10567160430135,1.0,4,3.0,2,,0.0,66.8
18.0,0,,1.6,2.9,1,69.44754840776243,3.735946303015664,2.0,3,1.0,2,4.0,,71.3
18.0,0,3.5,3.1,0.0,0,64.56928589935637,7.088100999514104,1.0,2,2.0,2,6.0,,75.5
19.0,1,6.1,1.5,0.4,0,93.10704083752684,11.206284917354504,,2,2.0,1,,0.0,100.0
24.0,0,5.2,2.3,1.5,0,66.7520541435618,4.734693816723528,1.0,6,3.0,0,2.0,0.0,82.8
19.0,1,2.7,1.1,3.1,0,65.85593819930294,6.967277486171024,1.0,4,1.0,1,1.0,,50.8
23.0,1,4.0,3.0,3.0,0,82.61514162327937,9.203291721392857,,4,2.0,1,7.0,1.0,74.7
21.0,0,3.2,2.4,1.8,0,63.35588975310131,6.434532944111866,1.0,4,,1,8.0,1.0,76.3
24.0,1,4.2,2.4,1.5,0,85.78210050002274,3.885038431243349,1.0,2,2.0,1,8.0,1.0,85.9
20.0,0,1.8,1.8,1.1,0,89.07905822123966,19.66389653572256,2.0,0,1.0,2,1.0,0.0,48.7
24.0,0,,1.7,0.2,1,63.89187032976221,6.510736387341453,0.0,4,3.0,2,7.0,,66.5
21.0,1,2.3,1.9,0.1,0,69.65098109817687,6.569445021581344,1.0,2,2.0,1,,0.0,61.7
22.0,0,1.1,,1.7,0,87.14887547384211,0.0,1.0,3,3.0,2,4.0,1.0,48.3
23.0,0,4.4,,0.0,1,100.0,16.187677773404697,1.0,4,3.0,1,3.0,0.0,70.1
17.0,0,2.0,,,0,79.6296227021881,0.0,1.0,5,3.0,0,5.0,0.0,58.5
19.0,0,5.7,3.8,,0,79.53653964007933,19.26113590620586,1.0,4,,1,,0.0,100.0
21.0,0,6.0,3.3,2.2,0,68.78894184407416,0.4742663591188238,1.0,1,1.0,1,8.0,1.0,90.2
18.0,1,5.5,2.0,0.0,0,82.93557394718368,9.615725558719312,2.0,5,1.0,0,2.0,0.0,93.7
20.0,1,5.1,2.6,1.8,0,77.55723616934065,9.721658557378236,1.0,5,1.0,1,10.0,0.0,100.0
21.0,1,7.4,3.6,1.3,0,85.25117984606916,7.664937072700138,2.0,2,1.0,2,6.0,,100.0
17.0,1,0.0,4.6,1.2,0,92.0221237405127,0.0,0.0,7,2.0,1,6.0,0.0,42.0
24.0,0,1.7,3.3,1.3,0,88.13545910413424,0.0,1.0,6,3.0,2,6.0,,61.5
19.0,0,,2.2,1.7,0,83.89402721994193,8.532174712547391,,1,1.0,2,5.0,,93.1
20.0,1,3.7,1.8,1.3,0,76.17486282295069,0.0,1.0,6,3.0,2,9.0,0.0,80.9
23.0,1,1.6,,,0,69.06637758350675,8.812847852296073,1.0,3,3.0,2,10.0,1.0,62.0
22.0,0,2.7,2.2,2.8,0,93.83783933859829,7.187497537647532,1.0,3,1.0,1,3.0,0.0,53.0
18.0,0,2.3,0.6,1.1,0,91.61599932196782,16.138908392326083,1.0,1,2.0,2,10.0,0.0,73.5
20.0,0,3.3,3.6,2.6,0,96.36991953106288,12.53877984543187,1.0,3,1.0,0,3.0,1.0,57.1
21.0,0,2.4,2.3,2.2,0,52.60283512329621,16.567669348235796,2.0,7,3.0,1,2.0,0.0,63.9
19.0,1,3.6,2.0,1.0,1,76.51798533390975,8.165613846160614,2.0,7,2.0,1,10.0,0.0,85.6
19.0,1,1.7,2.1,,1,92.92423067604015,16.817928325589474,1.0,0,1.0,1,,0.0,61.2
20.0,1,3.7,3.5,2.5,0,85.70762554520151,0.0,,7,1.0,2,9.0,1.0,81.0
21.0,1,,1.7,,1,73.02226743876253,3.011093825134972,2.0,1,2.0,1,4.0,0.0,72.6
24.0,0,4.1,3.6,2.2,0,88.19276329433472,7.868156256086725,0.0,5,1.0,0,9.0,,84.0
17.0,0,3.7,3.9,2.2,1,60.27428108550001,11.183953938609491,1.0,0,1.0,2,7.0,0.0,66.6
22.0,1,4.1,1.6,,0,85.0557223139057,0.9907806286773452,1.0,6,1.0,2,2.0,0.0,77.5
,1,4.3,4.8,,1,75.32233608930495,9.29354424946976,1.0,3,1.0,2,9.0,0.0,79.8
21.0,0,1.2,4.3,2.2,0,45.93823704967666,1.9839457857534544,1.0,1,2.0,1,,0.0,36.2
17.0,0,7.1,1.9,1.1,1,57.53140160256188,5.8777955436110085,2.0,6,1.0,1,5.0,,100.0
17.0,0,3.8,3.1,2.3,0,69.90969404591657,13.569753932585687,2.0,3,1.0,2,5.0,0.0,67.8
21.0,1,0.2,3.1,2.1,1,63.610097791088805,0.0,2.0,5,3.0,2,3.0,1.0,31.5
22.0,1,2.6,3.4,,0,83.0731983643681,0.0,0.0,0,2.0,2,1.0,0.0,49.1
23.0,0,5.0,4.5,2.3,0,69.26533696907552,0.0,2.0,6,1.0,1,9.0,0.0,98.0
23.0,0,1.9,3.5,1.7,1,73.51164603460211,0.0,1.0,0,1.0,2,9.0,0.0,57.7
22.0,0,3.2,4.0,2.7,0,67.5850326619389,1.5095901057127152,2.0,7,3.0,2,5.0,1.0,61.8
22.0,1,3.1,4.7,0.4,0,63.81781371461354,2.352773118999902,2.0,3,3.0,2,,0.0,71.5
24.0,0,3.7,0.4,,0,86.18125590383579,9.285312471653796,1.0,7,2.0,1,,0.0,87.9
22.0,1,6.2,3.5,,0,70.73199114842546,1.8091523943311048,1.0,6,2.0,2,8.0,0.0,100.0
18.0,1,4.2,3.4,1.4,0,63.8930916451453,0.0,2.0,2,3.0,1,4.0,,74.0
17.0,1,4.3,3.3,,0,54.301033084829896,0.0,0.0,4,3.0,2,6.0,0.0,69.4
21.0,2,3.3,4.3,,0,80.75732400074737,14.376073066373984,,1,1.0,2,5.0,0.0,56.4
17.0,1,1.8,3.0,2.0,0,76.59590836879795,0.0,,2,1.0,1,,0.0,47.5
24.0,1,5.8,1.3,,1,91.98158497851496,2.776272174609645,2.0,6,1.0,1,,,99.0
,0,3.0,2.2,2.3,0,64.01193386105369,3.6300636463570775,0.0,1,3.0,1,,,49.1
21.0,1,,,2.4,0,72.83025653791717,4.40402522137209,2.0,1,1.0,2,1.0,0.0,53.0
22.0,1,5.4,3.0,1.5,0,100.0,3.849055799167658,0.0,5,2.0,2,2.0,0.0,94.5
23.0,0,2.9,3.6,1.2,0,72.45259779176739,8.20827629081945,1.0,2,1.0,1,3.0,,45.9
17.0,1,4.8,2.8,3.1,0,82.87857591840469,0.0,1.0,2,,2,6.0,0.0,74.9
24.0,0,3.5,1.9,1.2,0,84.2159499278626,6.417905190987645,0.0,7,2.0,1,10.0,,92.6
24.0,2,4.9,0.5,,0,59.81862939713187,16.83828241508602,0.0,1,,1,3.0,0.0,83.9
18.0,1,1.3,,,0,77.45563324370697,0.0,0.0,4,1.0,2,1.0,1.0,46.6
21.0,1,2.6,0.5,1.6,0,74.26472198288695,6.188545667312984,1.0,3,1.0,2,,,76.1
17.0,0,1.7,3.4,3.9,1,83.75401628658555,15.795614436444987,,3,1.0,1,5.0,0.0,41.7
20.0,1,3.6,2.2,2.2,0,61.94070367355501,11.986735814200904,1.0,3,2.0,1,10.0,1.0,76.1
19.0,0,2.3,1.9,0.0,1,93.4047301854255,12.728172602416857,1.0,7,2.0,0,8.0,1.0,77.4
18.0,0,4.9,4.4,1.4,1,83.3320800163428,9.60098608698709,1.0,5,1.0,1,3.0,,77.2
21.0,1,0.8,2.3,,0,79.51685824954586,0.0,1.0,2,1.0,0,7.0,,44.3
24.0,1,4.1,5.4,0.9,0,63.96492382909528,9.13065880045843,0.0,2,,2,7.0,1.0,73.2
17.0,0,3.0,0.0,0.6,1,85.50054657349935,8.534241341383916,1.0,4,2.0,1,10.0,,98.7
22.0,0,2.1,1.9,2.7,1,54.30773085864382,0.0,2.0,2,1.0,2,6.0,0.0,62.5
20.0,1,3.6,3.9,4.2,0,78.99662718777995,19.306531418608504,0.0,2,1.0,0,8.0,1.0,65.6
18.0,1,3.3,2.1,2.3,0,66.80551694851177,5.062532560023824,,5,1.0,0,2.0,0.0,67.1
22.0,1,5.6,2.2,,0,47.44228357977099,18.759122514284247,2.0,0,3.0,0,7.0,0.0,84.6
17.0,0,4.3,3.4,0.6,0,48.35013694649697,9.49992711308882,1.0,4,3.0,1,7.0,,77.3
22.0,1,2.4,1.9,,0,54.39288949324593,18.23082354912215,2.0,5,1.0,2,2.0,,53.9
20.0,0,3.0,2.6,1.3,0,50.549721407066656,15.59920366083402,2.0,5,2.0,2,8.0,1.0,64.4
18.0,0,5.8,,,1,39.54984525877821,22.230364296291462,2.0,7,1.0,1,7.0,0.0,100.0
,0,3.5,3.0,2.7,0,71.5107096199207,2.0994345765025053,1.0,6,1.0,2,8.0,,66.7
23.0,0,6.8,2.5,,0,87.15264099443723,4.037042972527798,2.0,0,2.0,0,4.0,,93.1
20.0,0,3.9,2.1,2.8,0,77.23535452660128,0.0,1.0,4,2.0,1,7.0,0.0,77.8
24.0,0,4.4,0.0,,0,58.4414914699931,9.662906060248575,1.0,1,2.0,1,1.0,0.0,81.9
24.0,1,5.6,3.2,,0,18.2728674755616,8.029125569751633,1.0,4,2.0,1,9.0,0.0,82.7
17.0,0,3.1,1.7,2.9,1,66.48095406967668,3.1844388086323128,2.0,0,2.0,1,3.0,1.0,51.1
17.0,0,3.1,2.3,,1,62.29899156315955,4.933472448448307,1.0,3,1.0,2,4.0,1.0,61.5
23.0,1,2.9,2.8,0.5,0,93.9274121443477,1.1337127853474789,2.0,6,,0,2.0,1.0,61.6
19.0,0,8.3,3.3,,1,66.67154935115838,4.991213748388957,1.0,4,1.0,1,8.0,0.0,100.0
20.0,1,5.0,1.5,,0,48.16100912513993,0.5479574331645469,0.0,2,3.0,1,4.0,0.0,83.6
24.0,1,3.4,2.7,1.2,0,87.00949325147558,16.185228993790737,0.0,0,1.0,1,,1.0,70.8
21.0,0,0.3,3.6,1.7,0,79.35841780970429,0.0,0.0,3,2.0,1,4.0,1.0,33.6
18.0,0,3.6,3.0,,0,79.14649268943553,0.7288603604675701,2.0,5,2.0,1,6.0,0.0,74.0
17.0,1,4.1,2.8,,0,90.60644661073728,24.0,0.0,7,2.0,1,7.0,0.0,87.9
24.0,1,3.9,3.3,1.1,1,86.55670675499763,8.942356579003475,1.0,0,,2,2.0,0.0,56.0
,2,2.0,4.9,2.9,1,100.0,8.200035402549199,2.0,3,1.0,2,6.0,0.0,43.9
24.0,1,2.6,1.4,2.1,1,63.79991464259134,12.521539038507637,1.0,0,1.0,1,6.0,0.0,63.0
19.0,0,2.2,3.5,1.8,0,86.99499204907904,0.0,2.0,5,2.0,2,7.0,0.0,67.6
17.0,2,2.7,2.9,2.9,0,62.91540373212895,0.0,1.0,1,,0,7.0,0.0,53.4
17.0,1,2.0,2.7,2.0,0,63.172600340954176,8.243095960706345,2.0,5,1.0,1,,0.0,71.7
17.0,0,2.5,,1.9,1,83.14858157579654,0.0,1.0,1,3.0,2,1.0,0.0,44.5
21.0,1,2.2,4.0,1.9,0,90.37924192481712,10.750444421515445,0.0,1,1.0,1,4.0,1.0,47.1
22.0,1,2.5,3.2,,0,73.07653572963244,3.825403395413853,0.0,1,1.0,1,,0.0,59.7
20.0,0,4.1,3.1,,0,86.05329793137416,1.960497135719002,1.0,5,1.0,2,8.0,,77.8
20.0,1,5.7,2.1,2.4,0,74.13885710214214,0.0,1.0,2,3.0,2,5.0,,83.8
19.0,1,3.2,1.5,0.0,0,49.32190756855293,17.153115071351568,2.0,4,2.0,2,10.0,0.0,92.0
20.0,1,5.2,4.4,0.5,0,77.81260112403172,8.748769453018872,1.0,2,1.0,0,4.0,,74.0
24.0,0,5.4,3.4,0.9,0,60.74449381127031,6.008491643104903,1.0,0,2.0,2,9.0,0.0,92.3
23.0,1,2.9,2.3,2.3,0,72.78481181301493,2.5034075518323498,2.0,6,2.0,1,1.0,0.0,66.0
24.0,0,4.7,3.1,0.9,0,59.3721105487002,1.9294121437920584,2.0,5,1.0,1,,1.0,96.4
23.0,1,2.8,4.1,1.7,1,100.0,0.0,1.0,2,2.0,1,5.0,1.0,54.9
18.0,0,2.3,2.3,1.7,0,79.25878440117927,0.0,2.0,4,2.0,2,4.0,0.0,58.5
20.0,1,5.6,2.4,2.3,0,83.06631076995828,15.417803827673628,1.0,6,1.0,1,10.0,1.0,100.0
18.0,0,2.9,,,0,85.49706654755332,10.135138706896832,,0,2.0,2,10.0,0.0,70.2
21.0,0,2.2,1.5,1.3,1,84.70989028554843,0.2839787568640735,0.0,5,3.0,1,10.0,,71.6
19.0,1,4.3,3.1,,0,62.6139518915714,6.239777732841024,2.0,1,,1,6.0,,81.4
24.0,1,6.6,2.8,2.9,0,77.046541056136,1.846794175585825,2.0,2,,2,9.0,0.0,100.0
19.0,0,5.3,2.7,,0,71.16048241664164,5.364806554246153,1.0,1,2.0,0,4.0,1.0,74.2
22.0,1,5.9,3.5,0.4,0,74.1321069942303,1.878734188527423,2.0,1,,2,2.0,,71.4
24.0,1,2.3,,,0,87.6136377966331,9.510266895439962,2.0,0,3.0,2,4.0,0.0,40.9
19.0,0,0.5,0.0,2.6,1,85.1372486110739,8.340056627419363,0.0,4,3.0,0,9.0,,45.0
20.0,1,4.4,2.9,1.4,0,74.38000739191327,3.837258635216218,1.0,6,3.0,2,5.0,1.0,77.9
19.0,0,4.7,3.2,3.1,1,52.40978571331006,0.0,1.0,4,2.0,2,,0.0,80.3
23.0,0,2.9,2.6,1.8,0,30.410461139751103,21.451408544068062,2.0,7,1.0,2,8.0,0.0,70.7
19.0,0,3.0,4.5,0.9,0,46.3859631814579,9.80353383103294,,2,3.0,2,5.0,1.0,51.5
18.0,2,2.9,3.2,2.8,0,95.45374330082508,2.4472771672560567,1.0,4,1.0,1,2.0,0.0,63.0
23.0,1,4.1,2.8,1.4,0,62.89660014517097,2.791705821333108,2.0,1,3.0,1,4.0,0.0,60.1
21.0,0,4.3,3.2,2.8,0,61.30579306551468,8.451650662663763,0.0,3,1.0,0,6.0,,67.5
17.0,0,3.8,0.9,1.0,0,83.08648653189536,10.040616651326998,2.0,4,2.0,2,9.0,0.0,80.9
19.0,2,2.7,,,0,64.73044480958191,22.98099122981132,1.0,5,2.0,0,,0.0,68.2
23.0,2,3.1,2.8,,0,86.46378923106762,4.501540981240377,0.0,4,3.0,2,8.0,1.0,72.8
20.0,1,0.0,0.3,1.1,1,89.99244025911705,10.038994637905018,1.0,1,1.0,1,9.0,1.0,53.3
19.0,1,3.8,2.0,1.5,0,63.25521576390104,6.971384399776457,0.0,0,,1,2.0,0.0,55.7
17.0,0,2.7,2.5,1.4,0,97.00594423405232,6.49405212820667,2.0,7,3.0,1,1.0,,52.2
19.0,1,2.5,2.7,,0,66.21915369062822,3.1938903543086403,0.0,2,2.0,1,,0.0,56.1
24.0,0,3.5,1.6,2.2,0,64.3878823811168,13.983309464914434,2.0,1,2.0,1,6.0,,67.7
24.0,1,2.4,2.8,0.9,0,63.43563437301037,3.045408064555672,,3,,1,3.0,1.0,54.7
19.0,1,3.6,4.0,,0,74.917865388122,1.893591797117376,2.0,2,1.0,0,0.0,,53.2
20.0,0,3.3,1.6,1.9,0,97.95379689199268,17.69056252331394,2.0,5,3.0,1,3.0,0.0,70.1
21.0,1,3.6,2.0,,0,59.64758750244979,7.249239072009392,2.0,0,2.0,2,3.0,1.0,66.8
,0,6.3,3.0,1.6,0,82.33461430023362,9.191614277400303,0.0,1,1.0,1,,1.0,94.8
23.0,0,4.6,0.9,1.9,0,70.6712358284006,6.2958662078427,2.0,5,3.0,2,5.0,0.0,81.3
17.0,1,3.5,2.6,3.2,1,82.30301025927619,0.0,1.0,4,2.0,1,4.0,1.0,74.0
18.0,0,0.0,3.8,1.3,1,68.68053467608337,6.438197691507151,2.0,4,1.0,1,5.0,0.0,31.1
20.0,0,3.3,2.9,3.6,0,96.25467330103992,0.0,1.0,5,2.0,1,,,60.3
24.0,0,3.3,1.5,1.8,1,77.37990987143633,0.0,1.0,5,1.0,1,5.0,0.0,62.6
,0,,1.1,0.3,0,67.01330489554995,3.468322118452204,2.0,2,1.0,1,,,49.8
21.0,1,1.9,3.2,1.2,0,71.92540400251713,1.0289608991010166,2.0,6,2.0,2,6.0,0.0,41.7
18.0,1,4.2,3.0,0.5,0,99.98044674245506,2.454596310543169,1.0,3,,1,5.0,0.0,78.4
18.0,1,0.6,3.1,3.0,0,49.201903344133925,10.405389306066402,2.0,2,2.0,2,,0.0,18.4
